final_validated_wsi_id,public_wsi_pseudonym,patch_a,patch_b,iou,visual_fingerprint_similarity,lab_mean_delta,coordinate_relation,feature_relation,pair_relation,x_a,y_a,x2_a,y2_a,x_b,y_b,x2_b,y2_b
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p0322,0.0,0.99534273147583,4.622531394053313,spatially_distinct,feature_similar,feature_similar_without_spatial_overlap,682,780,1194,1292,856,223,1368,735
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p0323,0.0359764543620487,0.9952120780944824,3.1257645456967778,spatially_overlapping,feature_similar,feature_similar_and_spatially_overlapping,682,780,1194,1292,1143,625,1655,1137
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p0324,0.0,0.9908111095428468,3.5264677959114756,spatially_distinct,feature_not_similar,spatially_distinct,682,780,1194,1292,1387,447,1899,959
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p0325,0.0,0.9741495847702026,25.852458794704443,spatially_distinct,feature_not_similar,spatially_distinct,682,780,1194,1292,1477,206,1989,718
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p0326,0.1480725603720865,0.9951578378677368,3.70432103365736,spatially_overlapping,feature_similar,feature_similar_and_spatially_overlapping,682,780,1194,1292,964,562,1476,1074
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p1705,0.0,0.9950056076049804,4.577701210154193,spatially_distinct,feature_similar,feature_similar_without_spatial_overlap,682,780,1194,1292,873,156,1385,668
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p1706,0.0,0.9945396184921264,15.115974995800446,spatially_distinct,feature_not_similar,spatially_distinct,682,780,1194,1292,16,238,528,750
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p1707,0.0366790709814172,0.9951441287994384,4.003364824786211,spatially_overlapping,feature_similar,feature_similar_and_spatially_overlapping,682,780,1194,1292,823,318,1335,830
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p1708,0.0,0.9946658611297609,16.246702443471037,spatially_distinct,feature_not_similar,spatially_distinct,682,780,1194,1292,30,143,542,655
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p1709,0.1513096639319782,0.9945255517959596,10.529569040488228,spatially_overlapping,feature_not_similar,spatially_overlapping,682,780,1194,1292,368,944,880,1456
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p2861,0.5450317972051465,0.9962400197982788,1.5377062583142591,spatially_overlapping,feature_similar,feature_similar_and_spatially_overlapping,682,780,1194,1292,744,679,1256,1191
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p3017,0.2213421793175422,0.9955962896347046,10.828034416608558,spatially_overlapping,feature_not_similar,spatially_overlapping,682,780,1194,1292,392,696,904,1208
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p3018,0.0136418473721656,0.993727684020996,10.809660541249269,spatially_overlapping,feature_not_similar,spatially_overlapping,682,780,1194,1292,186,851,698,1363
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p3188,0.0,0.9924002289772034,7.455452664505721,spatially_distinct,feature_not_similar,spatially_distinct,682,780,1194,1292,1419,786,1931,1298
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p3189,0.0128839938255744,0.9945236444473268,2.7584763352305197,spatially_overlapping,feature_not_similar,spatially_overlapping,682,780,1194,1292,1023,307,1535,819
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p3190,0.5317741582061208,0.9953614473342896,4.724286780619965,spatially_overlapping,feature_similar,feature_similar_and_spatially_overlapping,682,780,1194,1292,687,933,1199,1445
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p3191,0.6395681923370401,0.9954534769058228,2.0562068264400315,spatially_overlapping,feature_similar,feature_similar_and_spatially_overlapping,682,780,1194,1292,780,762,1292,1274
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p3466,0.0,0.9939446449279784,3.965388978638724,spatially_distinct,feature_not_similar,spatially_distinct,682,780,1194,1292,987,20,1499,532
public_ndb_wsi_0000,public_ndb_wsi_0000,p0321,p3467,0.2678783892279863,0.9931329488754272,6.831073238658929,spatially_overlapping,feature_not_similar,spatially_overlapping,682,780,1194,1292,476,930,988,1442
public_ndb_wsi_0000,public_ndb_wsi_0000,p0322,p0323,0.0495457803009981,0.995914340019226,6.895008833414113,spatially_overlapping,feature_not_similar,spatially_overlapping,856,223,1368,735,1143,625,1655,1137
public_ndb_wsi_0000,public_ndb_wsi_0000,p0322,p0324,0.0,0.9918831586837769,3.6811303004253015,spatially_distinct,feature_not_similar,spatially_distinct,856,223,1368,735,1387,447,1899,959
public_ndb_wsi_0000,public_ndb_wsi_0000,p0322,p0325,0.0,0.9760491847991944,22.88642237831543,spatially_distinct,feature_not_similar,spatially_distinct,856,223,1368,735,1477,206,1989,718
public_ndb_wsi_0000,public_ndb_wsi_0000,p0322,p0326,0.1538129737057544,0.9951529502868652,7.1935163574915935,spatially_overlapping,feature_not_similar,spatially_overlapping,856,223,1368,735,964,562,1476,1074
