missing_patch_id,origin
3,-1
10,-1
12,-1
38,-1
39,-1
40,-1
41,-1
57,-1
126,-1
127,-1
128,-1
129,-1
130,-1
131,-1
132,-1
133,-1
158,-1
159,-1
160,-1
161,-1
162,-1
163,-1
164,-1
313,-1
314,-1
315,-1
316,-1
317,-1
318,-1
319,-1
320,-1
432,-1
433,-1
434,-1
435,-1
436,-1
437,-1
438,-1
439,-1
554,-1
571,-1
638,-1
639,-1
640,-1
641,-1
642,-1
643,-1
644,-1
645,-1
646,-1
647,-1
648,-1
649,-1
650,-1
651,-1
652,-1
653,-1
654,-1
655,-1
656,-1
657,-1
658,-1
659,-1
660,-1
661,-1
662,-1
663,-1
664,-1
665,-1
666,-1
667,-1
668,-1
713,-1
714,-1
715,-1
716,-1
717,-1
718,-1
719,-1
785,-1
786,-1
787,-1
788,-1
789,-1
790,-1
791,-1
792,-1
793,-1
794,-1
871,-1
875,-1
877,-1
878,-1
879,-1
880,-1
881,-1
882,-1
883,-1
884,-1
885,-1
892,-1
893,-1
894,-1
895,-1
896,-1
897,-1
898,-1
899,-1
900,-1
901,-1
902,-1
903,-1
904,-1
905,-1
906,-1
997,-1
998,-1
999,-1
1000,-1
1001,-1
1002,-1
1017,-1
1018,-1
1162,-1
1265,-1
1266,-1
1267,-1
1268,-1
1269,-1
1270,-1
1271,-1
1272,-1
1273,-1
1274,-1
1275,-1
1276,-1
1277,-1
1278,-1
1279,-1
1280,-1
1281,-1
1282,-1
1283,-1
1284,-1
1285,-1
1287,-1
1378,-1
1379,-1
1380,-1
1381,-1
1382,-1
1383,-1
1384,-1
1385,-1
1386,-1
1387,-1
1388,-1
1453,-1
1456,-1
1457,-1
1458,-1
1459,-1
1460,-1
1461,-1
1462,-1
1463,-1
1464,-1
1469,-1
1470,-1
1471,-1
1472,-1
1473,-1
1474,-1
1475,-1
1476,-1
1477,-1
1478,-1
1502,-1
1504,-1
1505,-1
1507,-1
1508,-1
1509,-1
1510,-1
1511,-1
1512,-1
1513,-1
1569,-1
1575,-1
1576,-1
1577,-1
1578,-1
1597,-1
1598,-1
1600,-1
1601,-1
1602,-1
1603,-1
1604,-1
1605,-1
1606,-1
1607,-1
1608,-1
1609,-1
1610,-1
1611,-1
1612,-1
1687,-1
1688,-1
1690,-1
1691,-1
1692,-1
1693,-1
1694,-1
1695,-1
1696,-1
1697,-1
1698,-1
1699,-1
1700,-1
1701,-1
1702,-1
1703,-1
1704,-1
1718,-1
1719,-1
1720,-1
1721,-1
1724,-1
1726,-1
1729,-1
1731,-1
1732,-1
1733,-1
1734,-1
1735,-1
1736,-1
1737,-1
1738,-1
1739,-1
1815,-1
1816,-1
1817,-1
1818,-1
1820,-1
1821,-1
1822,-1
1823,-1
1854,-1
1855,-1
1856,-1
1857,-1
1858,-1
1859,-1
1860,-1
1861,-1
1862,-1
1863,-1
1864,-1
1865,-1
1898,-1
1899,-1
1900,-1
1901,-1
1905,-1
1907,-1
1909,-1
1912,-1
1913,-1
1975,-1
1977,-1
2094,-1
2095,-1
2096,-1
2098,-1
2099,-1
2101,-1
2102,-1
2103,-1
2104,-1
2105,-1
2106,-1
2107,-1
2108,-1
2109,-1
2110,-1
2111,-1
2112,-1
2113,-1
2114,-1
2115,-1
2116,-1
2117,-1
2129,-1
2130,-1
2131,-1
2132,-1
2133,-1
2134,-1
2135,-1
2136,-1
2137,-1
2139,-1
2140,-1
2141,-1
2142,-1
2143,-1
2144,-1
2145,-1
2269,-1
2271,-1
2272,-1
2274,-1
2275,-1
2276,-1
2277,-1
2278,-1
2279,-1
2281,-1
2283,-1
2284,-1
2286,-1
2287,-1
2289,-1
2291,-1
2304,-1
2305,-1
2306,-1
2308,-1
2309,-1
2310,-1
2311,-1
2312,-1
2313,-1
2314,-1
2331,-1
2426,-1
2428,-1
2430,-1
2431,-1
2432,-1
2434,-1
2435,-1
2436,-1
2438,-1
2439,-1
2440,-1
2441,-1
2442,-1
2500,-1
2501,-1
2502,-1
2503,-1
2504,-1
2505,-1
2506,-1
2507,-1
2508,-1
2509,-1
2510,-1
2511,-1
2512,-1
2513,-1
2514,-1
2515,-1
2516,-1
2517,-1
2518,-1
2519,-1
2520,-1
2521,-1
2522,-1
2523,-1
2524,-1
2525,-1
2526,-1
2527,-1
2528,-1
2529,-1
2530,-1
2531,-1
2532,-1
2533,-1
2534,-1
2535,-1
2536,-1
2537,-1
2538,-1
2539,-1
2540,-1
2541,-1
2542,-1
2543,-1
2544,-1
2545,-1
2546,-1
2547,-1
2548,-1
2549,-1
2550,-1
2551,-1
2553,-1
2554,-1
2556,-1
2557,-1
2762,-1
2763,-1
2764,-1
2765,-1
2766,-1
2768,-1
2769,-1
2770,-1
2771,-1
2772,-1
2773,-1
2774,-1
2775,-1
2776,-1
2777,-1
2778,-1
2779,-1
2780,-1
2781,-1
2782,-1
2783,-1
2784,-1
2832,-1
2840,-1
2842,-1
2843,-1
2844,-1
2845,-1
2846,-1
2847,-1
2848,-1
2871,-1
2872,-1
2888,-1
2891,-1
2899,-1
2900,-1
2901,-1
2908,-1
2916,-1
2924,-1
2965,-1
2966,-1
2979,-1
2980,-1
2981,-1
2994,-1
2995,-1
2998,-1
2999,-1
3005,-1
3010,-1
3011,-1
3012,-1
3016,-1
3020,-1
3021,-1
3030,-1
3033,-1
3037,-1
3038,-1
3063,-1
3064,-1
3065,-1
3077,-1
3079,-1
3096,-1
3103,-1
3104,-1
3124,-1
3125,-1
3126,-1
3137,-1
3138,-1
3142,-1
3147,-1
3148,-1
3161,-1
3162,-1
3186,-1
3187,-1
3216,-1
3217,-1
3242,-1
3259,-1
3260,-1
3261,-1
3262,-1
3282,-1
3289,-1
3307,-1
3308,-1
3311,-1
3312,-1
3383,-1
3384,-1
3385,-1
3386,-1
3388,-1
3406,-1
3407,-1
3422,-1
3425,-1
3427,-1
3445,-1
3446,-1
3447,-1
3448,-1
3449,-1
3461,-1
3462,-1
3463,-1
3464,-1
3465,-1
3472,-1
3473,-1
3474,-1
3475,-1
3476,-1
3490,-1
3497,-1
3498,-1
3520,-1
3546,-1
3547,-1
3548,-1
3552,-1
3553,-1
3554,-1
3575,-1
3576,-1
3577,-1
3578,-1
3579,-1
3580,-1
3583,-1
3606,-1
3622,-1
3623,-1
3624,-1
3625,-1
3627,-1
3628,-1
3674,-1
3675,-1
3676,-1
3677,-1
3678,-1
3679,-1
3680,-1
3681,-1
3691,-1
3692,-1
3726,-1
3743,-1
3761,-1
